fecha,Transaction Description,categoria,monto,Type
2020-02-28,Curso online Udemy,educacion,3286.0,Income
2020-02-28,Compra útiles escolares,educacion,1795.0,Income
2020-02-29,Peaje vía evitamiento,transporte,1944.06,Expense
2020-03-03,Renta mensual de vivienda,vivienda,1742.33,Expense
2020-03-04,Compra juego de PlayStation,entretenimiento,314.15,Expense
2020-03-04,Compra Plaza Vea,alimentacion,1201.9,Expense
2020-03-09,Pago alquiler departamento,vivienda,1858.91,Expense
2020-03-09,Pasaje de bus interprovincial,transporte,486.51,Expense
2020-03-11,Pago mensual de habitación,vivienda,180.45,Expense
2020-03-11,Pago alquiler departamento,vivienda,1956.19,Expense
2020-03-12,Pago de agua Sedapal,servicios,265.5,Expense
2020-03-12,Recibo de luz Enel,servicios,537.46,Expense
2020-03-14,Compra de zapatillas Adidas,otros,1929.08,Expense
2020-03-15,Compra juego de PlayStation,entretenimiento,1428.77,Expense
2020-03-18,Análisis de laboratorio,salud,881.82,Expense
2020-03-21,Renta mensual de vivienda,vivienda,503.33,Expense
2020-03-23,Inversión fondo mutuo,otros,2385.0,Income
2020-03-23,Almuerzo menú criollo,alimentacion,151.28,Expense
2020-03-24,Suscripción Spotify familiar,entretenimiento,144.13,Expense
2020-03-28,Envío de encomienda,otros,1080.0,Income
2020-04-01,Combustible estación Repsol,transporte,1341.27,Expense
2020-04-05,Recibo de gas Calidda,servicios,1449.47,Expense
2020-04-06,Depósito nómina mensual,otros,493.56,Expense
2020-04-06,Compra online Amazon,otros,388.92,Expense
2020-04-10,Trámite notarial,otros,3402.0,Income
2020-04-17,Honorarios profesionales,otros,1729.04,Expense
2020-04-17,Compra de acciones bolsa de valores,otros,996.0,Income
2020-04-18,Análisis de laboratorio,salud,1603.18,Expense
2020-04-22,Depósito plazo fijo,otros,2058.0,Income
2020-04-23,Pago de agua Sedapal,servicios,849.54,Expense
2020-04-25,Suscripción HBO Max,entretenimiento,1750.23,Expense
2020-04-26,Depósito plazo fijo,otros,914.0,Income
2020-04-26,Almuerzo menú criollo,alimentacion,1938.3,Expense
2020-04-27,Suscripción Disney Plus,entretenimiento,340.96,Expense
2020-04-27,Entradas Cineplanet,entretenimiento,1730.65,Expense
2020-04-29,Recibo de luz Enel,servicios,764.16,Expense
2020-04-30,Pasaje de bus interprovincial,transporte,1853.77,Expense
2020-05-01,Peaje vía evitamiento,transporte,851.78,Expense
2020-05-03,Depósito nómina mensual,otros,318.05,Expense
2020-05-03,Compra de víveres minimarket,alimentacion,1162.57,Expense
2020-05-05,Compra de vitaminas,salud,123.76,Expense
2020-05-06,Pago de telefonía Claro,servicios,123.19,Expense
2020-05-06,Pago de tv cable DirecTV,servicios,146.36,Expense
2020-05-07,Aporte voluntario AFP,otros,3807.0,Income
2020-05-11,Compra de acciones bolsa de valores,otros,825.0,Income
2020-05-12,Compra online Amazon,otros,1318.17,Expense
2020-05-13,Consulta odontológica,salud,1870.07,Expense
2020-05-14,Consulta pediatra,salud,484.99,Expense
2020-05-15,Servicio Taxi Cabify,transporte,919.88,Expense
2020-05-16,Pago mensual de habitación,vivienda,28.54,Expense
2020-05-17,Renta mensual de vivienda,vivienda,155.79,Expense
2020-05-19,Estación de servicio Primax,transporte,273.59,Expense
2020-05-20,Alquiler de local comercial,vivienda,1759.75,Expense
2020-05-21,Recibo de luz Enel,servicios,881.99,Expense
2020-05-25,Servicio Taxi Uber,transporte,1227.24,Expense
2020-05-27,Compra Plaza Vea,alimentacion,1339.05,Expense
2020-05-28,Renta mensual de vivienda,vivienda,1878.47,Expense
2020-05-29,Compra de acciones bolsa de valores,otros,1376.0,Income
2020-05-30,Pago de tv cable DirecTV,servicios,551.97,Expense
2020-05-31,Consulta pediatra,salud,415.16,Expense
2020-05-31,Combustible estación Repsol,transporte,1015.76,Expense
2020-06-01,Cafetería Starbucks,alimentacion,193.67,Expense
2020-06-02,Servicio Taxi Cabify,transporte,97.73,Expense
2020-06-05,Recibo de gas Calidda,servicios,1277.86,Expense
2020-06-06,Pago por consultoría externa,otros,1107.84,Expense
2020-06-07,McDonald's combo familiar,alimentacion,232.63,Expense
2020-06-08,Recibo de internet Movistar,servicios,1095.72,Expense
2020-06-09,Recibo de gas Calidda,servicios,865.28,Expense
2020-06-09,Otros gastos varios,otros,826.0,Income
2020-06-10,Compra juego de PlayStation,entretenimiento,1367.31,Expense
2020-06-10,Compra medicamentos Inkafarma,salud,1562.43,Expense
2020-06-11,Compra de laptop Wilson,otros,1947.94,Expense
2020-06-11,Suscripción HBO Max,entretenimiento,1730.57,Expense
2020-06-12,Recibo de internet Movistar,servicios,1764.02,Expense
2020-06-14,Comisión bancaria mensual,otros,3872.0,Income
2020-06-15,Suscripción Netflix mensual,entretenimiento,540.94,Expense
2020-06-18,Pago mensual de habitación,vivienda,771.26,Expense
2020-06-18,Trámite notarial,otros,2322.0,Income
2020-06-18,Compra de libros de texto,educacion,3364.0,Income
2020-06-19,Compra juego de PlayStation,entretenimiento,453.62,Expense
2020-06-19,Compra de laptop Wilson,otros,663.24,Expense
2020-06-21,Estación de servicio Primax,transporte,708.78,Expense
2020-06-21,Compra medicamentos Inkafarma,salud,1879.08,Expense
2020-06-22,Comisión bancaria mensual,otros,1962.0,Income
2020-06-22,Recarga de gasolina,transporte,86.13,Expense
2020-06-24,Membresía Gimnasio Smartfit,salud,1459.8,Expense
2020-06-30,Renta mensual de vivienda,vivienda,776.54,Expense
2020-06-30,Peaje vía evitamiento,transporte,98.33,Expense
2020-07-02,Suscripción HBO Max,entretenimiento,734.8,Expense
2020-07-03,Fotocopias e impresiones,otros,3071.0,Income
2020-07-04,Pago alquiler departamento,vivienda,1442.31,Expense
2020-07-05,Peaje vía evitamiento,transporte,1337.12,Expense
2020-07-06,Pasaje aéreo Latam,transporte,1113.28,Expense
2020-07-06,Compra útiles escolares,educacion,1925.0,Income
2020-07-08,Recarga tarjeta Metropolitano,transporte,818.09,Expense
2020-07-11,Pasaje de bus interprovincial,transporte,580.96,Expense
2020-07-12,Consulta clínica San Felipe,salud,935.33,Expense
2020-07-12,Suscripción Spotify familiar,entretenimiento,1027.24,Expense
2020-07-13,Recibo de gas Calidda,servicios,1321.11,Expense
2020-07-17,Compra medicamentos Inkafarma,salud,195.84,Expense
2020-07-20,Suscripción Netflix mensual,entretenimiento,1348.86,Expense
2020-07-21,Compra juego de PlayStation,entretenimiento,303.23,Expense
2020-07-21,Otros gastos varios,otros,1096.0,Income
2020-07-22,Suscripción HBO Max,entretenimiento,1439.51,Expense
2020-07-22,Compra online Amazon,otros,495.53,Expense
2020-07-22,Supermercado Tottus,alimentacion,1786.39,Expense
2020-07-23,Alquiler de local comercial,vivienda,1559.06,Expense
2020-07-24,Depósito nómina mensual,otros,109.93,Expense
2020-07-28,Pago mensual de habitación,vivienda,918.36,Expense
2020-07-28,Consulta pediatra,salud,1900.58,Expense
2020-07-29,Compra de laptop Wilson,otros,1662.83,Expense
2020-07-30,Pago de tv cable DirecTV,servicios,1489.87,Expense
2020-07-31,Pasaje de bus interprovincial,transporte,1506.04,Expense
2020-08-01,Recarga tarjeta Metropolitano,transporte,1533.97,Expense
2020-08-01,Suscripción Disney Plus,entretenimiento,556.45,Expense
2020-08-01,Envío de encomienda,otros,2420.0,Income
2020-08-02,Análisis de laboratorio,salud,1787.12,Expense
2020-08-03,Aporte voluntario AFP,otros,2394.0,Income
2020-08-04,Recibo de gas Calidda,servicios,1415.77,Expense
2020-08-04,Retiro de efectivo cajero,otros,3210.0,Income
2020-08-04,Tienda por departamento Ripley,otros,133.91,Expense
2020-08-05,Mensualidad instituto de idiomas,educacion,1810.63,Expense
2020-08-05,Compra en Wong,alimentacion,1714.9,Expense
2020-08-06,Tienda de ropa Saga Falabella,otros,959.19,Expense
2020-08-08,Combustible estación Repsol,transporte,1509.42,Expense
2020-08-08,Tienda de ropa Saga Falabella,otros,1081.06,Expense
2020-08-09,Suscripción Spotify familiar,entretenimiento,981.58,Expense
2020-08-13,Pago de haberes sueldo,otros,67.76,Expense
2020-08-14,Tienda por departamento Ripley,otros,1451.12,Expense
2020-08-16,Recibo de luz Enel,servicios,1961.64,Expense
2020-08-17,Tienda por departamento Ripley,otros,1187.87,Expense
2020-08-18,Alquiler de local comercial,vivienda,1289.07,Expense
2020-08-19,Retiro de efectivo cajero,otros,1988.0,Income
2020-08-20,Fotocopias e impresiones,otros,3181.0,Income
2020-08-21,Compra de vitaminas,salud,681.63,Expense
2020-08-21,Pasaje de bus interprovincial,transporte,1506.5,Expense
2020-08-22,Pasaje aéreo Latam,transporte,1671.47,Expense
2020-08-22,Cafetería Starbucks,alimentacion,1999.82,Expense
2020-08-26,Renta mensual de vivienda,vivienda,1564.65,Expense
2020-08-27,Compra Plaza Vea,alimentacion,1899.73,Expense
2020-08-27,Depósito plazo fijo,otros,1748.0,Income
2020-08-29,Pago por consultoría externa,otros,1342.22,Expense
2020-08-30,Entradas Cineplanet,entretenimiento,935.42,Expense
2020-08-31,Consulta pediatra,salud,343.9,Expense
2020-09-01,Alquiler de local comercial,vivienda,1557.81,Expense
2020-09-05,Envío de encomienda,otros,1385.0,Income
2020-09-05,Servicio Taxi Uber,transporte,1155.84,Expense
2020-09-06,Artículos de casa Sodimac,otros,799.34,Expense
2020-09-07,Pago alquiler departamento,vivienda,1188.27,Expense
2020-09-08,Suscripción Netflix mensual,entretenimiento,212.78,Expense
2020-09-11,Alquiler de local comercial,vivienda,1594.49,Expense
2020-09-11,Pizza Hut familiar,alimentacion,700.94,Expense
2020-09-11,Análisis de laboratorio,salud,147.22,Expense
2020-09-16,Compra Plaza Vea,alimentacion,1700.66,Expense
2020-09-17,Renta mensual de vivienda,vivienda,872.71,Expense
2020-09-17,Depósito nómina mensual,otros,1417.54,Expense
2020-09-18,Pasaje de bus interprovincial,transporte,1235.67,Expense
2020-09-18,Pago por consultoría externa,otros,935.1,Expense
2020-09-22,Estación de servicio Primax,transporte,651.39,Expense
2020-09-22,Alquiler de local comercial,vivienda,565.07,Expense
2020-09-22,Depósito nómina mensual,otros,1144.0,Expense
2020-09-23,Consulta odontológica,salud,67.11,Expense
2020-09-23,Pago de telefonía Claro,servicios,980.22,Expense
2020-09-25,Pasaje de bus interprovincial,transporte,687.27,Expense
2020-09-27,Combustible estación Repsol,transporte,1116.02,Expense
2020-09-27,Suscripción Disney Plus,entretenimiento,180.37,Expense
2020-09-27,Pago de haberes sueldo,otros,1114.8,Expense
2020-09-29,Pago de haberes sueldo,otros,1295.35,Expense
2020-09-30,Compra de víveres minimarket,alimentacion,195.18,Expense
2020-10-01,Entrada concierto,entretenimiento,619.35,Expense
2020-10-03,Pago de haberes sueldo,otros,1111.41,Expense
2020-10-04,Compra medicamentos Inkafarma,salud,710.1,Expense
2020-10-07,Pasaje de bus interprovincial,transporte,510.29,Expense
2020-10-07,Compra de acciones bolsa de valores,otros,3084.0,Income
2020-10-07,Aporte voluntario AFP,otros,2069.0,Income
2020-10-08,Pago por consultoría externa,otros,560.23,Expense
2020-10-08,Pasaje aéreo Latam,transporte,1961.22,Expense
2020-10-10,Pasaje de bus interprovincial,transporte,462.69,Expense
2020-10-10,Aporte voluntario AFP,otros,4875.0,Income
2020-10-10,Depósito plazo fijo,otros,946.0,Income
2020-10-12,Pago de agua Sedapal,servicios,1279.36,Expense
2020-10-14,Alquiler de local comercial,vivienda,1746.71,Expense
2020-10-15,Pago de haberes sueldo,otros,962.64,Expense
2020-10-16,Cafetería Starbucks,alimentacion,512.43,Expense
2020-10-16,Pago mensual de habitación,vivienda,1646.01,Expense
2020-10-16,Alquiler de local comercial,vivienda,1158.27,Expense
2020-10-18,Recibo de internet Movistar,servicios,306.9,Expense
2020-10-19,Servicio Taxi Cabify,transporte,179.51,Expense
2020-10-23,Artículos de casa Sodimac,otros,1216.57,Expense
2020-10-24,Suscripción HBO Max,entretenimiento,1553.63,Expense
2020-10-26,Pago por consultoría externa,otros,601.73,Expense
2020-10-27,Tienda por departamento Ripley,otros,617.71,Expense
2020-10-27,Renta mensual de vivienda,vivienda,1895.7,Expense
2020-10-27,Suscripción Netflix mensual,entretenimiento,536.65,Expense
2020-10-28,Depósito plazo fijo,otros,1923.0,Income
2020-10-29,Pago de tv cable DirecTV,servicios,15.32,Expense
2020-10-30,Honorarios profesionales,otros,589.61,Expense
2020-10-31,Servicio Taxi Uber,transporte,1408.95,Expense
2020-11-01,Suscripción Netflix mensual,entretenimiento,1848.58,Expense
2020-11-01,Entrada concierto,entretenimiento,856.03,Expense
2020-11-02,Pago de telefonía Claro,servicios,1817.74,Expense
2020-11-04,Renta mensual de vivienda,vivienda,128.68,Expense
2020-11-06,Servicio Taxi Uber,transporte,883.92,Expense
2020-11-07,Recarga de gasolina,transporte,1402.47,Expense
2020-11-09,Pago de haberes sueldo,otros,881.14,Expense
2020-11-10,Tienda de ropa Saga Falabella,otros,1471.72,Expense
2020-11-10,KFC almuerzo,alimentacion,191.74,Expense
2020-11-12,Compra Plaza Vea,alimentacion,1999.15,Expense
2020-11-12,Pasaje de bus interprovincial,transporte,1156.73,Expense
2020-11-14,Pago de telefonía Claro,servicios,946.3,Expense
2020-11-14,Combustible estación Repsol,transporte,371.16,Expense
2020-11-14,Depósito nómina mensual,otros,1938.42,Expense
2020-11-14,Tienda de ropa Saga Falabella,otros,673.28,Expense
2020-11-15,Recibo de gas Calidda,servicios,666.31,Expense
2020-11-15,Combustible estación Repsol,transporte,1328.54,Expense
2020-11-16,Cafetería Starbucks,alimentacion,915.1,Expense
2020-11-16,Análisis de laboratorio,salud,240.68,Expense
2020-11-17,Cena en restaurante rústica,alimentacion,1318.74,Expense
2020-11-20,Artículos de casa Sodimac,otros,117.87,Expense
2020-11-22,Honorarios profesionales,otros,1254.56,Expense
2020-11-23,Suscripción Spotify familiar,entretenimiento,541.44,Expense
2020-11-25,Retiro de efectivo cajero,otros,4089.0,Income
2020-11-25,Honorarios profesionales,otros,251.64,Expense
2020-11-26,Suscripción Disney Plus,entretenimiento,1422.47,Expense
2020-11-27,Almuerzo menú criollo,alimentacion,1108.98,Expense
2020-11-27,Depósito plazo fijo,otros,4280.0,Income
2020-11-29,Recibo de luz Enel,servicios,1001.77,Expense
2020-12-01,Pasaje aéreo Latam,transporte,836.83,Expense
2020-12-05,Pago de haberes sueldo,otros,495.02,Expense
2020-12-05,Matrícula Universidad,educacion,389.31,Expense
2020-12-06,Recibo de gas Calidda,servicios,1729.41,Expense
2020-12-10,Tienda por departamento Ripley,otros,686.35,Expense
2020-12-10,Combustible estación Repsol,transporte,1642.89,Expense
2020-12-11,Pasaje de bus interprovincial,transporte,1676.58,Expense
2020-12-12,Honorarios profesionales,otros,1731.87,Expense
2020-12-13,Honorarios profesionales,otros,696.8,Expense
2020-12-14,Compra de laptop Wilson,otros,916.14,Expense
2020-12-14,Compra juego de PlayStation,entretenimiento,1961.74,Expense
2020-12-16,Artículos de casa Sodimac,otros,474.79,Expense
2020-12-16,McDonald's combo familiar,alimentacion,643.17,Expense
2020-12-16,Mensualidad instituto de idiomas,educacion,778.3,Expense
2020-12-18,Recibo de internet Movistar,servicios,995.7,Expense
2020-12-18,Otros gastos varios,otros,1322.0,Income
2020-12-20,Depósito nómina mensual,otros,208.43,Expense
2020-12-20,Cena en restaurante rústica,alimentacion,1447.66,Expense
2020-12-22,Recibo de luz Enel,servicios,158.91,Expense
2020-12-23,Combustible estación Repsol,transporte,683.74,Expense
2020-12-23,Renta mensual de vivienda,vivienda,1705.01,Expense
2020-12-24,Compra de laptop Wilson,otros,1908.74,Expense
2020-12-25,Depósito nómina mensual,otros,1746.04,Expense
2020-12-26,Inversión fondo mutuo,otros,2423.0,Income
2020-12-28,Pasaje de bus interprovincial,transporte,1994.88,Expense
2020-12-30,Tienda por departamento Ripley,otros,1956.89,Expense
2020-12-31,Alquiler de local comercial,vivienda,892.92,Expense
2021-01-01,Cena en restaurante rústica,alimentacion,101.52,Expense
2021-01-06,Servicio Taxi Uber,transporte,723.34,Expense
2021-01-06,Suscripción Netflix mensual,entretenimiento,1067.02,Expense
2021-01-08,Pago de tv cable DirecTV,servicios,348.27,Expense
2021-01-10,Comisión bancaria mensual,otros,2472.0,Income
2021-01-10,Recibo de luz Enel,servicios,472.06,Expense
2021-01-11,Pago de haberes sueldo,otros,518.1,Expense
2021-01-12,Retiro de efectivo cajero,otros,2856.0,Income
2021-01-13,Pago de tv cable DirecTV,servicios,156.99,Expense
2021-01-13,Recarga tarjeta Metropolitano,transporte,1281.49,Expense
2021-01-14,Estación de servicio Primax,transporte,919.1,Expense
2021-01-14,Compra de laptop Wilson,otros,1708.14,Expense
2021-01-15,Fotocopias e impresiones,otros,3440.0,Income
2021-01-15,Servicio Taxi Uber,transporte,53.66,Expense
2021-01-17,Compra de libros de texto,educacion,556.22,Expense
2021-01-17,Supermercado Tottus,alimentacion,1822.13,Expense
2021-01-19,Recarga de gasolina,transporte,1553.72,Expense
2021-01-20,Consulta clínica San Felipe,salud,445.82,Expense
2021-01-24,Fotocopias e impresiones,otros,1620.0,Income
2021-01-26,McDonald's combo familiar,alimentacion,624.78,Expense
2021-01-27,Medicinas Mifarma,salud,1467.4,Expense
2021-01-27,Otros gastos varios,otros,3176.0,Income
2021-01-27,Recibo de internet Movistar,servicios,409.58,Expense
2021-01-27,Análisis de laboratorio,salud,1066.4,Expense
2021-01-29,Recibo de luz Enel,servicios,521.37,Expense
2021-02-02,Honorarios profesionales,otros,1935.09,Expense
2021-02-05,Membresía Gimnasio Smartfit,salud,1610.42,Expense
2021-02-05,Renta mensual de vivienda,vivienda,290.11,Expense
2021-02-08,Tienda por departamento Ripley,otros,1934.87,Expense
2021-02-08,Consulta pediatra,salud,189.7,Expense
2021-02-09,Estación de servicio Primax,transporte,1077.78,Expense
2021-02-09,Pasaje de bus interprovincial,transporte,1173.27,Expense
2021-02-11,Medicinas Mifarma,salud,225.61,Expense
2021-02-11,Supermercado Tottus,alimentacion,1242.9,Expense
2021-02-13,Consulta pediatra,salud,1831.36,Expense
2021-02-16,Pago alquiler departamento,vivienda,1274.45,Expense
2021-02-18,Estación de servicio Primax,transporte,1301.99,Expense
2021-02-19,Inversión fondo mutuo,otros,804.0,Income
2021-02-20,Pago por consultoría externa,otros,241.08,Expense
2021-02-21,Pago de tv cable DirecTV,servicios,783.41,Expense
2021-02-23,Compra online Amazon,otros,1178.81,Expense
2021-02-24,Artículos de casa Sodimac,otros,1313.29,Expense
2021-02-27,Pensión mensual colegio,educacion,1878.72,Expense
2021-02-28,Compra de vitaminas,salud,442.37,Expense
2021-03-02,Suscripción Spotify familiar,entretenimiento,1712.35,Expense
2021-03-02,Trámite notarial,otros,4960.0,Income
2021-03-02,Análisis de laboratorio,salud,130.49,Expense
2021-03-04,Pago mensual de habitación,vivienda,1898.53,Expense
2021-03-05,Renta mensual de vivienda,vivienda,1328.91,Expense
2021-03-05,Compra en Wong,alimentacion,110.65,Expense
2021-03-07,Recibo de luz Enel,servicios,1576.09,Expense
2021-03-07,Compra juego de PlayStation,entretenimiento,1176.9,Expense
2021-03-08,Suscripción Spotify familiar,entretenimiento,663.83,Expense
2021-03-09,Aporte voluntario AFP,otros,2771.0,Income
2021-03-09,Recibo de internet Movistar,servicios,1975.18,Expense
2021-03-10,Recibo de internet Movistar,servicios,228.75,Expense
2021-03-12,Recibo de luz Enel,servicios,39.57,Expense
2021-03-15,Suscripción HBO Max,entretenimiento,1181.82,Expense
2021-03-15,Envío de encomienda,otros,929.0,Income
2021-03-16,Envío de encomienda,otros,4809.0,Income
2021-03-16,Inversión fondo mutuo,otros,4401.0,Income
2021-03-17,Consulta clínica San Felipe,salud,1031.34,Expense
2021-03-17,Depósito plazo fijo,otros,855.0,Income
2021-03-18,Recarga tarjeta Metropolitano,transporte,921.5,Expense
2021-03-19,Supermercado Tottus,alimentacion,1997.19,Expense
2021-03-20,Tienda por departamento Ripley,otros,1375.33,Expense
2021-03-21,Pago de haberes sueldo,otros,156.25,Expense
2021-03-22,Depósito plazo fijo,otros,1038.0,Income
2021-03-22,Comisión bancaria mensual,otros,3620.0,Income
2021-03-22,Peaje vía evitamiento,transporte,912.89,Expense
2021-03-23,Alquiler de local comercial,vivienda,1588.26,Expense
2021-03-23,Depósito plazo fijo,otros,4023.0,Income
2021-03-24,Suscripción Disney Plus,entretenimiento,833.49,Expense
2021-03-25,Compra online Amazon,otros,837.82,Expense
2021-03-26,Envío de encomienda,otros,3060.0,Income
2021-03-27,Consulta pediatra,salud,1907.65,Expense
2021-03-28,Pago de haberes sueldo,otros,143.6,Expense
2021-03-29,Renta mensual de vivienda,vivienda,869.43,Expense
2021-03-30,Análisis de laboratorio,salud,1625.42,Expense
2021-04-01,Consulta pediatra,salud,1343.33,Expense
2021-04-02,Compra de libros de texto,educacion,1737.5,Expense
2021-04-03,Peaje vía evitamiento,transporte,1204.82,Expense
2021-04-03,Entrada concierto,entretenimiento,317.91,Expense
2021-04-03,Pago mensual de habitación,vivienda,706.73,Expense
2021-04-08,Pago alquiler departamento,vivienda,1527.59,Expense
2021-04-08,Tienda por departamento Ripley,otros,1691.86,Expense
2021-04-09,McDonald's combo familiar,alimentacion,1221.9,Expense
2021-04-11,Recarga tarjeta Metropolitano,transporte,67.62,Expense
2021-04-11,Servicio Taxi Cabify,transporte,1843.86,Expense
2021-04-12,Recibo de internet Movistar,servicios,1741.03,Expense
2021-04-13,Tienda por departamento Ripley,otros,148.47,Expense
2021-04-18,McDonald's combo familiar,alimentacion,192.6,Expense
2021-04-19,Curso online Udemy,educacion,845.47,Expense
2021-04-19,Consulta pediatra,salud,630.16,Expense
2021-04-19,Renta mensual de vivienda,vivienda,1767.85,Expense
2021-04-19,Inversión fondo mutuo,otros,1168.0,Income
2021-04-21,Tienda de ropa Saga Falabella,otros,976.47,Expense
2021-04-23,Recarga tarjeta Metropolitano,transporte,438.98,Expense
2021-04-23,Consulta odontológica,salud,865.53,Expense
2021-04-24,Depósito nómina mensual,otros,1058.6,Expense
2021-04-27,Suscripción Disney Plus,entretenimiento,796.57,Expense
2021-04-27,KFC almuerzo,alimentacion,416.8,Expense
2021-04-27,Recibo de gas Calidda,servicios,1530.68,Expense
2021-04-30,Pago mensual de habitación,vivienda,25.38,Expense
2021-05-02,Pago de telefonía Claro,servicios,267.08,Expense
2021-05-04,Suscripción Disney Plus,entretenimiento,1005.52,Expense
2021-05-04,Compra de vitaminas,salud,153.43,Expense
2021-05-06,Compra de víveres minimarket,alimentacion,878.08,Expense
2021-05-07,Renta mensual de vivienda,vivienda,1725.6,Expense
2021-05-07,Artículos de casa Sodimac,otros,1421.9,Expense
2021-05-07,Renta mensual de vivienda,vivienda,816.01,Expense
2021-05-10,Pago de tv cable DirecTV,servicios,1604.63,Expense
2021-05-11,Compra medicamentos Inkafarma,salud,185.38,Expense
2021-05-11,Entradas Cineplanet,entretenimiento,877.0,Expense
2021-05-12,Pago mensual de habitación,vivienda,797.58,Expense
2021-05-14,Compra medicamentos Inkafarma,salud,450.93,Expense
2021-05-14,Renta mensual de vivienda,vivienda,1025.86,Expense
2021-05-15,Inversión fondo mutuo,otros,3362.0,Income
2021-05-17,Pago de agua Sedapal,servicios,480.18,Expense
2021-05-19,Compra de acciones bolsa de valores,otros,1921.0,Income
2021-05-22,Renta mensual de vivienda,vivienda,362.52,Expense
2021-05-23,Pago de haberes sueldo,otros,933.27,Expense
2021-05-24,Pago de haberes sueldo,otros,1365.46,Expense
2021-05-24,Membresía Gimnasio Smartfit,salud,1729.85,Expense
2021-05-24,Pago de telefonía Claro,servicios,885.13,Expense
2021-05-25,Combustible estación Repsol,transporte,1594.7,Expense
2021-05-25,Compra de vitaminas,salud,1019.6,Expense
2021-05-27,Pago por consultoría externa,otros,84.84,Expense
2021-05-27,Pasaje de bus interprovincial,transporte,162.69,Expense
2021-05-29,Alquiler de local comercial,vivienda,1233.87,Expense
2021-05-30,Pago por consultoría externa,otros,1164.86,Expense
2021-05-31,Cafetería Starbucks,alimentacion,904.97,Expense
2021-05-31,Suscripción Spotify familiar,entretenimiento,649.84,Expense
2021-06-02,Pago de agua Sedapal,servicios,1915.87,Expense
2021-06-02,Consulta clínica San Felipe,salud,1964.95,Expense
2021-06-03,Depósito plazo fijo,otros,820.0,Income
2021-06-06,Pago por consultoría externa,otros,1982.06,Expense
2021-06-06,Pago de agua Sedapal,servicios,734.16,Expense
2021-06-06,Artículos de casa Sodimac,otros,823.45,Expense
2021-06-09,McDonald's combo familiar,alimentacion,1580.56,Expense
2021-06-11,Alquiler de local comercial,vivienda,666.08,Expense
2021-06-11,Matrícula Universidad,educacion,575.45,Expense
2021-06-14,Recibo de luz Enel,servicios,673.39,Expense
2021-06-15,Pago de telefonía Claro,servicios,1834.33,Expense
2021-06-16,Curso online Udemy,educacion,266.61,Expense
2021-06-20,Pago mensual de habitación,vivienda,626.07,Expense
2021-06-20,Compra de vitaminas,salud,1628.24,Expense
2021-06-22,Alquiler de local comercial,vivienda,1295.59,Expense
2021-06-23,Compra de vitaminas,salud,46.28,Expense
2021-06-24,Suscripción Spotify familiar,entretenimiento,690.05,Expense
2021-06-26,Compra juego de PlayStation,entretenimiento,460.82,Expense
2021-06-27,Aporte voluntario AFP,otros,2923.0,Income
2021-06-28,Alquiler de local comercial,vivienda,1020.3,Expense
2021-06-28,Cena en restaurante rústica,alimentacion,1327.24,Expense
2021-06-28,Pago de agua Sedapal,servicios,1198.52,Expense
